"","ANO","UO","QTDE_RECOMENDACOES","IMPLEMENTADAS","NÃO_IMPLEMENTADAS","CANCELADAS","EM_IMPLEMENTACAO","A_IMPLEMENTAR","PERCENTUAL_NAO_ENCAMINHADAS","PERCENTUAL_CANCELADAS","RECOMENDACOES_ATIVAS","PERCENTUAL_IMPLEMENTADAS","PERCENTUAL_NAO_IMPLEMENTADAS","RC1","RC2","RC3","RC1n","RC2n","RC3n","escore"
"1",2018,"SINFRA",274,120,142,12,0,0,0.41958041958042,0.0437956204379562,262,1.04580152671756,0.541984732824427,5.48044717120844,0.156486077077585,-0.0827972217446973,1,0.365430540739198,0.0411212243337811,58.119976680105
"2",2017,"SINFRA",242,110,97,35,0,0,0.397111913357401,0.144628099173554,207,1.16908212560386,0.468599033816425,4.21756033676932,0.125716380798183,-0.0542809723128008,0.803355633749926,0.356100716686289,0.0446779148354413,48.9482598720494
"3",2019,"SES",178,7,165,2,4,0,0.0611111111111111,0.0112359550561798,176,1.01136363636364,0.9375,3.97917173503,1.79917896403665,-0.325954703873848,0.766236096011543,0.863519162385821,0.0107933963646165,63.375252080996
"4",2017,"SES",167,26,127,6,8,0,0.196531791907514,0.0359281437125748,161,1.03726708074534,0.788819875776398,3.38495556354689,1.30363932821426,-0.268692902172842,0.6737105749036,0.713264263166673,0.0179353771746914,54.3547625516205
"5",2019,"SINFRA",137,63,52,19,3,0,0.423076923076923,0.138686131386861,118,1.16101694915254,0.440677966101695,2.02224843985152,0.348984434024673,-0.133300791113374,0.461523171079291,0.42379887120571,0.0348221643573808,35.4901136662501
"6",2019,"SEPLAG",121,60,10,6,45,0,0.826771653543307,0.0495867768595041,115,1.05217391304348,0.0869565217391304,1.5466514373951,-0.880593235657689,-0.0383868888558465,0.387467864944109,0.0509728539011023,0.0466603051143225,20.066121405197
"7",2017,"SEDUC",111,58,47,0,6,0,0.576576576576577,0,111,1,0.423423423423423,1.7158076529881,0.164711543283419,-0.182240771765571,0.413807213732492,0.367924622960768,0.0287181230544456,31.3811230420308
"8",2018,"SES",111,2,107,0,2,0,0.036036036036036,0,111,1,0.963963963963964,2.16117981095501,1.98834535186613,-0.362971487862062,0.483156203175181,0.920877190854722,0.00617647630550017,52.3337505376946
"9",2018,"SEGES",110,76,22,0,12,0,0.8,0,110,1,0.2,1.51185755151735,-0.584977366810777,-0.108678104584727,0.382050101886309,0.140607929221482,0.0378932300496257,22.6185727294483
"10",2019,"SEDUC",85,45,26,0,14,0,0.694117647058824,0,85,1,0.305882352941176,1.07197855902089,-0.135405490697298,-0.169826377558656,0.313556454358021,0.276924728230078,0.0302665089340491,23.8633647494143
"11",2020,"SES",85,11,68,1,3,2,0.162790697674419,0.0117647058823529,84,1.01190476190476,0.80952380952381,1.35171692653039,1.46894374969742,1.09472007322051,0.357114572547738,0.763386992803046,0.187987122268409,44.5546045087034
"12",2017,"SEMA",79,58,20,0,1,0,0.746835443037975,0,79,1,0.253164556962025,0.921033815282542,-0.285100014780436,-0.160082126723389,0.290052817561943,0.231535148862845,0.0314818610607149,21.3240809831316
"13",2017,"SESP",78,62,8,7,1,0,0.741176470588235,0.0897435897435897,71,1.09859154929577,0.112676056338028,0.733960882200307,-0.51860270591313,-0.0850132690777208,0.260923653043543,0.16073370173881,0.0408448277298232,17.833373766938
"14",2018,"SEDEC",73,60,4,0,9,0,0.945205479452055,0,73,1,0.0547945205479452,0.718512544233696,-0.90459042084406,-0.10777212355326,0.258518189191819,0.0436965547293165,0.0380062285747998,13.824915396955
"15",2018,"SESP",72,49,17,6,0,0,0.628205128205128,0.0833333333333333,66,1.09090909090909,0.257575757575758,0.684507840270609,-0.0732760389713423,-0.141987424950566,0.253223309810713,0.295763290945918,0.0337387235586908,21.8042247127294
"16",2017,"SEGES",69,41,3,10,13,2,0.683544303797468,0.144927536231884,59,1.16949152542373,0.0508474576271186,0.526994681040019,-0.589726183712658,1.36309924631542,0.228696903700301,0.139168018156006,0.221460726785361,18.7639449428484
"17",2018,"DETRAN",68,66,2,0,0,0,0.970588235294118,0,68,1,0.0294117647058824,0.618450383168348,-0.963462445874936,-0.10678961258564,0.242937489708918,0.025845691653226,0.0381287722997262,12.5325073136479
"18",2018,"MTPREV",68,43,17,0,8,0,0.75,0,68,1,0.25,0.694954998103115,-0.252470499188955,-0.171110778756391,0.254850038884977,0.24142889746003,0.0301063119365016,20.0280662947572
"19",2018,"SEFAZ",68,56,8,1,3,0,0.855072463768116,0.0147058823529412,67,1.01492537313433,0.119402985074627,0.63402220662824,-0.635422481052464,-0.127007382686608,0.245362181511956,0.125312229324734,0.035607110008386,15.8716814216901
"20",2017,"PGE",67,64,1,1,1,0,0.955882352941177,0.0149253731343284,66,1.01515151515152,0.0151515151515152,0.580507509020771,-0.961513260372805,-0.0971553761395603,0.23702939704615,0.0264367133395055,0.0393304028767189,12.3044214316867
"21",2017,"DETRAN",66,66,0,0,0,0,1,0,66,1,0,0.572962185142768,-1.0487013611847,-0.100889972426728,0.235854513128066,0,0.0388646051856927,11.3733258655809
"22",2018,"SEDUC",65,42,16,0,7,0,0.753846153846154,0,65,1,0.246153846153846,0.632495907300782,-0.25311289503051,-0.173269671014427,0.245124521132758,0.241234113601275,0.0298370440018595,19.5755818538798
"23",2018,"SETAS",63,62,0,0,1,0,1,0,63,1,0,0.520030811091351,-1.03436134481214,-0.104904745422511,0.227612558092001,0.00434810368152197,0.0383638624419976,11.1336654897022
